;id;Name;Main Story;Main + Extras;Completionist;All Styles;Platforms;Genre;Developer;Publisher;NA;EU;JP
0;79000.0; iaidoka_interlude ;1 Hours ;-- ;-- ;1 Hours ;   PC ;NAN;   Blaze Epic ;   Blaze Epic ;April 24, 2015 ;April 24, 2015 ;NAN
1;79001.0; X-Day 2 ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
2;79002.0; X The Ball ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
3;79003.0; X Multiply ;-- ;-- ;-- ;-- ;   Nintendo Switch ;NAN;   Irem ;   Irem ;NAN;NAN; 1989 
4;79004.0; Lightning Swords ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
5;79005.0; Seeders Puzzle Reboot ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
6;79012.0; Ou-Chan no Oekaki Logic ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
7;79013.0; Pichu Bros. mini ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
8;79014.0; Pirate Island Rescue ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
9;79015.0; Kingdoms of Amalur: Re-Reckoning ;20 Hours ;46 Hours ;79 Hours ;51 Hours ;   Nintendo Switch, PC, PlayStation 4, Xbox One ;NAN;   Kaiko ;   THQ Nordic ;September 08, 2020 ;September 08, 2020 ;NAN
10;79016.0; Poly Island ;-- ;-- ;-- ;-- ;   Mac, PC ;NAN;   EGAMER ;   EGAMER ;December 28, 2018 ;December 28, 2018 ;NAN
11;79017.0; Jane’s Realty ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
12;79018.0; Dig the Ground ;-- ;-- ;-- ;-- ;   PC ;   Puzzle ;   Itera Labs ;   HH-Games ;October 15, 2020 ;October 15, 2020 ;NAN
13;79019.0; The Lost Labyrinth ;-- ;-- ;-- ;-- ;   PC ;   Puzzle ;   Green Sauce Games ;   HH-Games ;May 31, 2020 ;May 31, 2020 ;NAN
14;79020.0; Fruit Lockers Reborn! ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
15;79021.0; Wild West Stories: The Beginning ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
16;79022.0; Jim is Moving Out! ;-- ;-- ;-- ;-- ;   PC ;NAN;NAN;   CINEMAX ;July 19, 2019 ;July 19, 2019 ;NAN
17;79023.0; Power & Revolution - 2019 Edition ;-- ;7 Hours ;-- ;7 Hours ;   Mac, PC ;NAN;   Eversim ;   Eversim ;March 12, 2019 ;March 12, 2019 ;NAN
18;79026.0; In Rays of the Light ;2 Hours ;2½ Hours ;3½ Hours ;2 Hours ;   Nintendo Switch, PC, PlayStation 4, Xbox One ;NAN;   Носков Сергей ;   Носков Сергей ;June 04, 2020 ;June 04, 2020 ;NAN
19;79028.0; The Tale of Despereaux (DS) ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
20;79030.0; Urban Legend: Shin Hayarigami - Blindman ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
21;79031.0; Skelattack ;5 Hours ;-- ;5½ Hours ;5 Hours ;   Nintendo Switch, PlayStation 4, Xbox One ;NAN;   Ukuza ;   Konami Digital Entertainment ;June 02, 2020 ;June 02, 2020 ;NAN
22;79032.0; Arcadia (2010) ;-- ;-- ;-- ;-- ;   PC ;   Shooter ;   Joshyy ;NAN;December 02, 2010 ;December 02, 2010 ;NAN
23;79033.0; Star Anise Chronicles: Oh No Wheres Twig?? ;-- ;19 Mins ;-- ;19 Mins ;   PC ;NAN;   Eevee ;NAN;May 10, 2020 ;NAN;NAN
24;79034.0; Sisterly lust ;15 Hours ;25 Hours ;-- ;18½ Hours ;   PC ;NAN;   Perverteer Games ;   Perverteer Games ;March 02, 2020 ;March 02, 2020 ;NAN
25;79035.0; Blade of Agony - Chapter 1: The Staff of Kings ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
26;79036.0; Blade of Agony - Chapter 2: Shadows of the Reich ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
27;79037.0; Spider Solitaire (2020) ;-- ;-- ;-- ;-- ;   Nintendo Switch ;   Board Game ;   Undefined ;   Baltoro Games ;January 17, 2020 ;January 17, 2020 ;NAN
28;79038.0; Typhoon ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
29;79039.0; Truck Driver ;27½ Hours ;-- ;30 Hours ;29 Hours ;   Nintendo Switch, PC, PlayStation 4, Xbox One ;   Simulation ;   Soedesco ;   Soedesco ; 2021 ; 2021 ;NAN
30;79040.0; Pele's Championship Soccer ;-- ;-- ;-- ;-- ;NAN;   Sports ;   Atari ;   Atari ; 1980 ;NAN;NAN
31;79041.0; Combat Two ;-- ;-- ;-- ;-- ;   PC ;NAN;NAN;   Atari ; 2001 ;NAN;NAN
32;79042.0; Megaquarium: Freshwater Frenzy ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
33;79043.0; Bridge (1980) ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN; 1980 ;NAN;NAN
34;79044.0; Flag Capture (1978) ;-- ;-- ;-- ;-- ;   PC ;NAN;   Atari ;   Atari ; 1978 ;NAN;NAN
35;79045.0; Kabobber ;-- ;-- ;-- ;-- ;NAN;NAN;   Activision ;   Activision ; 1983 ;NAN;NAN
36;79046.0; Polaris (1980) ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;   Tigervision ; 1980 ;NAN;NAN
37;79047.0; Realsports Basketball ;-- ;-- ;-- ;-- ;   PC ;NAN;   Roklan ;   Atari ; 2002 ;NAN;NAN
38;79048.0; Time Stone ;20 Mins ;-- ;-- ;20 Mins ;   PC ;NAN;NAN;NAN;NAN;NAN;NAN
39;79049.0; Monster Rancher Hop-A-Bout ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
40;79051.0; Super Baseball ;-- ;-- ;-- ;-- ;   PC ;NAN;   Atari ;   Atari ; 1988 ;NAN;NAN
41;79052.0; Super Football ;-- ;-- ;-- ;-- ;   PC ;NAN;   Atari ;   Atari ;March 1989 ;NAN;NAN
42;79053.0; Thwocker ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;   Activision ; 2002 ;NAN;NAN
43;79054.0; Tomcat: The F-14 Fighter Simulator ;-- ;-- ;-- ;-- ;NAN;NAN;   Imagineering ;   Absolute Entertainment ; 1988 ;NAN;NAN
44;79059.0; Deep Pockets: Super Pro Pool and Billiards ;-- ;-- ;-- ;-- ;NAN;   Sports ;NAN;   Realtime Associates ; 1990 ;NAN;NAN
45;79061.0; Duncan's Thin Ice ;-- ;-- ;-- ;-- ;   Intellivision ;NAN;   Mattel ;   Mattel ; 1986 ;NAN;NAN
46;79063.0; NHL Hockey (1979) ;-- ;-- ;-- ;-- ;   Intellivision ;NAN;NAN;NAN; 1979 ;NAN;NAN
47;79064.0; Dusk Child ;29 Mins ;-- ;-- ;29 Mins ;   PC ;NAN;   Sophie Houlden ;NAN;NAN;NAN;NAN
48;79065.0; BRKÖUT ;2 Hours ;-- ;-- ;2 Hours ;   PC ;NAN;NAN;   Stupid Massive Unbelievable Games ;September 29, 2017 ;September 29, 2017 ;NAN
49;79066.0; Thrunt ;-- ;-- ;-- ;-- ;NAN;NAN;   Mugs Games ;NAN;NAN;NAN;NAN
50;79067.0; Void Wisp ;5 Mins ;-- ;-- ;5 Mins ;   PC ;NAN;   D. W. O'Boyle ;   D. W. O'Boyle ;July 04, 2017 ;July 04, 2017 ;NAN
51;79068.0; Pixel Session Vol.1 ;-- ;-- ;-- ;-- ;   PC ;NAN;"   Rémy ""Trasevol_Dog"" Devaux ";NAN;NAN;NAN;NAN
52;79069.0; Hentai Nazi HITLER is Back ;-- ;-- ;15 Mins ;15 Mins ;   PC ;NAN;NAN;   AmagSwag Games ;April 01, 2020 ;April 01, 2020 ;NAN
53;79071.0; down. ;5 Mins ;-- ;15 Mins ;5 Mins ;   PC ;NAN;   Pixelbark ;NAN;July 17, 2017 ;July 17, 2017 ;NAN
54;79072.0; BIT RAT: Singularity ;-- ;-- ;-- ;-- ;NAN;   Puzzle ;   Bucket Drum Games ;NAN;NAN;NAN;NAN
55;79073.0; Serre ;16 Mins ;-- ;25 Mins ;23 Mins ;   PC ;   Visual Novel ;   insertdisc5 ;NAN; 2017 ;NAN;NAN
56;79074.0; You Used To Be Someone ;15 Mins ;15 Mins ;29 Mins ;15 Mins ;   PC ;NAN;   Squinky ;NAN;December 10, 2017 ;December 10, 2017 ;NAN
57;79075.0; Brathian ;-- ;-- ;-- ;-- ;   PC ;NAN;   Pangake ;   Pangake ;June 15, 2018 ;June 15, 2018 ;NAN
58;79076.0; Task Force Kampas ;-- ;-- ;55 Mins ;55 Mins ;   Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Xbox One ;NAN;   ｃａｓｉｏｐｅａ ;NAN;NAN;NAN;NAN
59;79077.0; Factory Hiro ;-- ;-- ;-- ;-- ;   PC ;NAN;   Rad Zone ;   Rad Zone ;January 25, 2018 ;January 25, 2018 ;NAN
60;79078.0; Us Lovely Corpses ;46 Mins ;1½ Hours ;-- ;56 Mins ;   PC ;NAN;   d Marie ;NAN;NAN;NAN;NAN
61;79079.0; Flufftopia ;29 Mins ;-- ;1 Hours ;32 Mins ;   PC ;NAN;   SmokeSomeFrogs ;NAN;NAN;NAN;NAN
62;79080.0; Nonsense at Nightfall ;28 Mins ;NAN;NAN;NAN;   PC ;NAN;   Siegfried Croes ;NAN;December 18, 2018 ;December 18, 2018 ;NAN
63;79081.0; A Wish Upon A Star ;2 Hours ;-- ;-- ;2 Hours ;   PC ;NAN;   Fabian Denter ;NAN;NAN;NAN;NAN
64;79082.0; 10S ;3 Hours ;5 Hours ;-- ;3 Hours ;   PC ;NAN;   Owch ;NAN;NAN;NAN;NAN
65;79084.0; Just Another Day at the Office ;-- ;-- ;-- ;-- ;NAN;NAN;   Working Class Games ;NAN;NAN;NAN;NAN
66;79085.0; Star and Light 1.0 ;-- ;-- ;-- ;-- ;NAN;   Puzzle ;NAN;NAN;NAN;NAN;NAN
67;79087.0; Blast Rush ;-- ;-- ;-- ;-- ;NAN;NAN;   Bipedal Dog ;NAN;NAN;NAN;NAN
68;79088.0; Devtheism ;15 Mins ;-- ;17 Mins ;16 Mins ;   PC ;NAN;   Fahmitsu ;NAN;NAN;NAN;NAN
69;79089.0; LAZA KNITEZ!! ;5 Mins ;-- ;-- ;5 Mins ;   PC ;NAN;   Glitchnap ;NAN;NAN;NAN;NAN
70;79090.0; Abst Clicker Farm ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
71;79091.0; Hypnotic Lights ;-- ;-- ;-- ;-- ;NAN;NAN;   Mattel ;   Mattel ; 1981 ;NAN;NAN
72;79092.0; Learning Fun I ;-- ;-- ;-- ;-- ;   Intellivision ;   Educational ;   Realtime Associates ;   INTV ; 1987 ;NAN;NAN
73;79093.0; Magic Carousel ;-- ;-- ;-- ;-- ;NAN;NAN;   Mattel ;   Mattel ; 1983 ;NAN;NAN
