;id;Name;Main Story;Main + Extras;Completionist;All Styles;Platforms;Genre;Developer;Publisher;NA;EU;JP
766;62866.0; In Your Shadow ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
767;62867.0; Dude Simulator ;-- ;-- ;-- ;-- ;   PC ;   Adventure ;   Kiddy ;   Kiddy ;July 13, 2017 ;July 13, 2017 ;NAN
768;62868.0; First Winter ;26 Mins ;-- ;45 Mins ;35 Mins ;   PC ;NAN;   Dan Sanderson ;   danthaigames ;May 08, 2018 ;May 08, 2018 ;NAN
769;62869.0; Rapture Rejects ;-- ;NAN;NAN;NAN;   PC ;   Top-Down ;NAN;   tinyBuild ;November 29, 2018 ;November 29, 2018 ;NAN
770;62870.0; Superfighters Deluxe ;-- ;-- ;-- ;-- ;   PC ;   Action ;   MythoLogic Interactive ;   MythoLogic Interactive ;November 30, 2018 ;November 30, 2018 ;NAN
771;62871.0; Aeon of Sands: The Trail ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
772;62872.0; X4: Foundations ;42 Hours ;85 Hours ;161 Hours ;60 Hours ;   PC ;   Simulation ;   Egosoft ;   Egosoft ;November 30, 2018 ;November 30, 2018 ;NAN
773;62873.0; Pumpkin Noir ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
774;62874.0; Ghost Hospital ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
775;62876.0; Car Quest ;6½ Hours ;7½ Hours ;8½ Hours ;7½ Hours ;   Nintendo Switch ;NAN;   Ezone PTY ;NAN;October 25, 2018 ;NAN;NAN
776;62877.0; Rocket Ski Racing ;-- ;-- ;7½ Hours ;7½ Hours ;   PC ;NAN;   nocanwin ;   nocanwin ;October 13, 2016 ;October 13, 2016 ;NAN
777;62878.0; Space Impossible ;-- ;-- ;-- ;-- ;   PC ;NAN;NAN;NAN;NAN;NAN;NAN
778;62879.0; Block Pooper 9 ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
779;62880.0; Simmiland ;5 Hours ;7½ Hours ;-- ;6 Hours ;   PC ;   Simulation ;   Sokpop Collective ;   Sokpop Collective ;August 15, 2018 ;August 15, 2018 ;NAN
780;62881.0; My Child Lebensborn ;3½ Hours ;-- ;7½ Hours ;7½ Hours ;   Mobile, PC ;NAN;   Sarepta Studio ;   Sarepta Studio ;NAN;NAN;NAN
781;62882.0; 9 Balls (2018) ;-- ;-- ;-- ;-- ;   PC ;NAN;   CasGames ;   CasGames ;April 20, 2018 ;April 20, 2018 ;NAN
782;62883.0; Abstract Arena ;-- ;-- ;-- ;-- ;   PC ;NAN;   Credici ;   Credici ;August 03, 2017 ;August 03, 2017 ;NAN
783;62884.0; After Rain: Phoenix Rise ;-- ;-- ;-- ;-- ;   PC ;NAN;   DV8Games ;   Dv9design ;December 15, 2017 ;December 15, 2017 ;NAN
784;62885.0; Air Dash (2017) ;-- ;-- ;-- ;-- ;   PC ;   Simulation ;   Iron ;   Vishwa Karma ;December 15, 2017 ;December 15, 2017 ;NAN
785;62886.0; Red Asphalt ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
786;62888.0; Pack Yarny Unravel 1+2 ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
787;62889.0; Return to Dark Castle ;2 Hours ;-- ;-- ;2 Hours ;NAN;NAN;NAN;   Merge Interactive ;March 14, 2008 ;NAN;NAN
788;62890.0; Training aim ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
789;62891.0; Defense Grid: The Awakening - Resurgence Map Pack ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
790;62892.0; Kings and Assassins ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
791;62893.0; Batalj ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
792;62894.0; CardLife: Cardboard Survival ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
793;62895.0; Switchblade (2018) ;-- ;NAN;NAN;NAN;   PC, PlayStation 4 ;NAN;   Lucid Games ;   Lucid Publishing ;August 28, 2018 ;August 28, 2018 ;NAN
794;62896.0; Cryptract ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
795;62898.0; SeaWorld Adventure Parks Tycoon ;-- ;-- ;-- ;-- ;NAN;NAN;   Deep Red Games ;   Activision ;October 22, 2003 ;NAN;NAN
