;id;Name;Main Story;Main + Extras;Completionist;All Styles;Platforms;Genre;Developer;Publisher;NA;EU;JP
0;1.0; 688(I) Hunter/Killer ;9½ Hours ;24 Hours ;50½ Hours ;15½ Hours ;   PC ;   Simulation ;   Sonalysts ;   Electronic Arts ;July 04, 1997 ;NAN;NAN
1;2.0; Beyond Good & Evil 2 ;-- ;-- ;-- ;-- ;NAN;NAN;   Ubisoft Montpellier ;   Ubisoft ;NAN;NAN;NAN
2;16.0; Shadow of the Comet ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
3;18.0; 'Splosion Man ;8 Hours ;9½ Hours ;17½ Hours ;9 Hours ;   Xbox 360 ;   Action ;   Twisted Pixel Games ;   Microsoft Games Studios ;July 22, 2009 ;July 22, 2009 ;NAN
4;19.0; .hack//G.U. Vol. 1: Rebirth ;19½ Hours ;24½ Hours ;38½ Hours ;23½ Hours ;   PC, PlayStation 2, PlayStation 4 ;NAN;   CyberConnect2 ;   Bandai ;October 24, 2006 ;NAN;May 18, 2006 
5;21.0; .hack//G.U. Vol. 3: Redemption ;21½ Hours ;32½ Hours ;50 Hours ;27 Hours ;   PC, PlayStation 2, PlayStation 4 ;NAN;   CyberConnect2 ;   Bandai ;March 25, 2008 ;NAN;January 18, 2007 
6;22.0; .hack//Infection ;17 Hours ;20 Hours ;29½ Hours ;20 Hours ;   PlayStation 2 ;NAN;NAN;   Bandai S.A. ;February 11, 2003 ;NAN;NAN
7;23.0; .hack//Link ;29 Hours ;44½ Hours ;-- ;36½ Hours ;   PlayStation Portable ;   Role-Playing ;   CyberConnect2 ;   Namco Bandai Games ;NAN;NAN;March 04, 2010 
8;24.0; .hack//Mutation ;15½ Hours ;20½ Hours ;30 Hours ;21 Hours ;   PlayStation 2 ;NAN;   CyberConnect2 ;   Bandai Games ;May 07, 2003 ;NAN;September 09, 2002 
9;25.0; .hack//Outbreak ;18 Hours ;20½ Hours ;21 Hours ;20 Hours ;   PlayStation 2 ;   Action RPG ;   CyberConnect2 ;   Bandai ;September 09, 2003 ;September 10, 2004 ;December 12, 2002 
10;26.0; .hack//Quarantine ;17 Hours ;20½ Hours ;24 Hours ;20 Hours ;   PlayStation 2 ;NAN;   CyberConnect2 ;   Bandai ;January 20, 2004 ;December 03, 2004 ;April 10, 2003 
11;28.0; 007 Legends: Skyfall DLC ;25 Mins ;-- ;27 Mins ;25 Mins ;   PC, PlayStation 3, Wii U, Xbox 360 ;NAN;   Eurocom ;   Activision ;September 11, 2012 ;NAN;NAN
12;29.0; 007 Racing ;3 Hours ;3 Hours ;3 Hours ;3 Hours ;   PlayStation ;   Racing ;   Eutechnyx ;   Electronic Arts ;November 20, 2000 ;December 15, 2000 ;NAN
13;30.0; 007: Licence to Kill ;48 Mins ;3 Hours ;-- ;2 Hours ;   Amstrad CPC, PC ;NAN;   Quixel ;   Domark ;April 20, 1989 ;NAN;NAN
14;31.0; 0D Beat Drop ;-- ;-- ;-- ;-- ;   Xbox 360 ;   Puzzle ;   Arc System Works ;NAN;November 11, 2009 ;NAN;NAN
15;33.0; GO Series: 10 Second Run ;30 Mins ;1 Hours ;2½ Hours ;1½ Hours ;   Nintendo 3DS ;   Platform ;   GAMEBRIDGE ;NAN;September 20, 2010 ;NAN;NAN
16;34.0; 10-Yard Fight ;22 Mins ;50 Mins ;1½ Hours ;1 Hours ;   NES ;   Sports ;   Irem ;NAN;October 1985 ;NAN;August 30, 1985 
17;35.0; 100 All-Time Favorites ;-- ;15½ Hours ;-- ;15½ Hours ;NAN;NAN;NAN;   Ubisoft ;NAN;NAN;NAN
18;36.0; 100 Rogues ;-- ;-- ;-- ;-- ;NAN;   Roguelike ;   Dinofarm Games ;   Fusion Reactions ;May 04, 2010 ;NAN;NAN
19;37.0; 1000 Amps ;4 Hours ;4½ Hours ;5 Hours ;4½ Hours ;   PC ;NAN;   Brandon Brizzi ;   Brandon Brizzi ;February 22, 2012 ;NAN;NAN
20;38.0; 10000000 ;6 Hours ;7½ Hours ;9 Hours ;7½ Hours ;   Mobile, PC ;NAN;   EightyEight Games ;   EightyEight Games ;August 29, 2012 ;NAN;NAN
21;39.0; 101-in-1 Explosive Megamix ;-- ;-- ;20 Hours ;20 Hours ;   Nintendo DS ;   Various ;   Nordcurrent ;   Atlus ;April 21, 2009 ;November 28, 2008 ;NAN
22;40.0; 102 Dalmatians: Puppies to the Rescue ;6 Hours ;6½ Hours ;9 Hours ;7 Hours ;   Dreamcast, Game Boy Color, PC, PlayStation ;NAN;NAN;   Eidos Interactive ;November 15, 2000 ;NAN;NAN
23;42.0; 1080° Avalanche ;2½ Hours ;10 Hours ;10 Hours ;8½ Hours ;   Nintendo GameCube ;NAN;   NST ;   Nintendo ;December 01, 2003 ;NAN;January 22, 2004 
24;43.0; 11eyes CrossOver ;-- ;-- ;-- ;-- ;NAN;   Visual Novel ;   Lass ;   5pb. ;NAN;NAN;April 02, 2009 
25;44.0; 11eyes ~Tsumi to Batsu to Aganai no Shoujo~ ;-- ;-- ;-- ;-- ;   PC ;   Visual Novel ;   Lass ;NAN;NAN;NAN;April 05, 2008 
26;45.0; 11th Hour ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
27;46.0; 15 Days ;6½ Hours ;7 Hours ;12 Hours ;7½ Hours ;   PC ;NAN;   House of Tales Entertainment ;NAN;NAN;June 25, 2010 ;NAN
28;48.0; 18 Wheeler: American Pro Trucker ;57 Mins ;-- ;2 Hours ;1 Hours ;   Dreamcast, Nintendo GameCube, PlayStation 2 ;NAN;   Sega-AM2 ;NAN;May 25, 2001 ;June 01, 2001 ;October 12, 2000 
29;49.0; 18 Wheels Across America ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
30;51.0; 1916 - Der unbekannte Krieg ;15 Mins ;18 Mins ;25 Mins ;18 Mins ;   Browser, PC ;NAN;   DADIU ;   DADIU ;NAN;NAN;NAN
31;54.0; 1942 ;2 Hours ;2½ Hours ;3 Hours ;2 Hours ;   Arcade, NES, PlayStation 2, Sega Saturn ;NAN;   Capcom ;   Capcom ;December 1984 ;December 1984 ;December 1984 
32;55.0; 1942: Joint Strike ;1½ Hours ;-- ;-- ;1½ Hours ;   PlayStation 3, Xbox 360 ;   Vertical scrolling shooter ;   Backbone Entertainment ;   Capcom ;July 23, 2008 ;July 23, 2008 ;NAN
33;56.0; 1943: The Battle of Midway ;1½ Hours ;1½ Hours ;2 Hours ;1½ Hours ;   Amiga, Amstrad CPC, Arcade, Atari ST, Commodore 64, NES, PC, PlayStation 2, PlayStation 4, Sega Saturn, Xbox One, ZX Spectrum ;NAN;   Capcom ;   Capcom ;June 1987 ;June 1987 ;June 1987 
34;57.0; 1944: The Loop Master ;46 Mins ;47 Mins ;-- ;46 Mins ;   Arcade, Nintendo Switch ;   Scrolling Shooter ;   8ing/Raizing ;   Capcom ;June 20, 2000 ;NAN;June 20, 2000 
35;58.0; 1991 Du Ma Racing ;-- ;15 Mins ;30 Mins ;20 Mins ;   NES ;   Sports ;   Idea-Tek ;   Super Mega ;NAN;NAN; 1991 
36;59.0; 19XX: The War Against Destiny ;35 Mins ;-- ;4 Hours ;45 Mins ;   Arcade, Nintendo Switch ;NAN;   Capcom ;   Capcom ;December 07, 1996 ;December 18, 1995 ;December 25, 1995 
37;60.0; 2010 FIFA World Cup South Africa ;13½ Hours - 35 Hours ;25 Hours ;-- ;NAN;   PlayStation 3, PlayStation Portable, Wii, Xbox 360 ;   Sports ;NAN;   EA Sports ;April 27, 2010 ;April 30, 2010 ;NAN
38;61.0; 24: The Game ;11 Hours ;11½ Hours ;-- ;11½ Hours ;   PlayStation 2 ;   Third-person shooter ;   SCE Studio Cambridge ;NAN;February 27, 2006 ;March 17, 2006 ;NAN
39;62.0; 25 To Life ;4 Hours ;4½ Hours ;11 Hours ;4½ Hours ;   PC, PlayStation 2, Xbox ;   Third-person shooter ;NAN;   Eidos Interactive ;January 17, 2006 ;June 01, 2007 ;NAN
40;63.0; 3 on 3 NHL Arcade ;1 Hours ;-- ;2 Hours ;1½ Hours ;   PlayStation 3, Xbox 360 ;   Sports ;   EA Canada ;   EA Sports ;February 11, 2009 ;February 11, 2009 ;NAN
41;65.0; 3-D WorldRunner ;1 Hours ;1 Hours ;1½ Hours ;1½ Hours ;   NES ;NAN;   Square ;NAN;September 1987 ;NAN;March 12, 1987 
42;66.0; 3079 ;3 Hours ;3½ Hours ;3½ Hours ;3½ Hours ;   PC ;NAN;   phr00t ;NAN; 2011 ;NAN;NAN
43;69.0; 3D Dot Game Heroes ;15½ Hours ;21 Hours ;26½ Hours ;20 Hours ;   PlayStation 3 ;NAN;   Silicon Studio ;   Atlus ;May 11, 2010 ;May 14, 2010 ;November 05, 2009 
44;70.0; 3D Pinball Express ;-- ;-- ;-- ;-- ;NAN;   Pinball ;NAN;   Kelly Media ;NAN;NAN;NAN
