;id;Name;Main Story;Main + Extras;Completionist;All Styles;Platforms;Genre;Developer;Publisher;NA;EU;JP
0;73000.0; Philosophic Love ;-- ;-- ;-- ;-- ;   PC ;NAN;   Iwplay World Interactive Entertainment Technology ;   Iwplay World Interactive Entertainment Technology ;August 17, 2018 ;August 17, 2018 ;NAN
1;73001.0; Virgo vs the ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
2;73002.0; ESP RA.DE. Psy ;43 Mins ;-- ;-- ;43 Mins ;   Nintendo Switch, PlayStation 4 ;NAN;NAN;   M2 ;NAN;NAN;December 19, 2019 
3;73003.0; Twilight Princess ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
4;73006.0; Hentai Zodiac Puzzle ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
5;73007.0; PUZZLETIME: Lovely Girls ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
6;73008.0; Defence War ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
7;73009.0; Herd is Coming ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
8;73010.0; Outworld Battlegrounds ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
9;73011.0; Gates of Hell (2019) ;-- ;-- ;-- ;-- ;   PC ;NAN;   Super Icon ;   Super Icon ;November 05, 2019 ;November 05, 2019 ;NAN
10;73012.0; OSK - The End of Time ;55 Mins ;1 Hours ;1½ Hours ;1 Hours ;   PC ;NAN;   Diax Game ;   Diax Game ;September 20, 2019 ;September 20, 2019 ;NAN
11;73013.0; Exile Squadron ;1 Hours ;-- ;-- ;1 Hours ;   PC ;NAN;   One Bit Studio ;   One Bit Studio ;November 11, 2019 ;November 11, 2019 ;NAN
12;73014.0; Downtown Drift ;33 Mins ;-- ;-- ;33 Mins ;   PC ;   Racing ;   ThatMadProgrammer ;   SiliKöln Valley Games ;May 23, 2019 ;May 23, 2019 ;NAN
13;73015.0; Can You find it? ;24 Mins ;-- ;25 Mins ;24 Mins ;   PC ;   Puzzle ;   Animal Mouth ;   Animal Mouth ;October 06, 2018 ;October 06, 2018 ;NAN
14;73016.0; Arrow Tourney ;1½ Hours ;-- ;-- ;1½ Hours ;   PC ;   Puzzle ;NAN;   7DOTS ;August 20, 2019 ;August 20, 2019 ;NAN
15;73018.0; Pumpkin Days ;-- ;-- ;-- ;-- ;   PC ;   Role-Playing ;   Pumpkin Interactive ;   Pumpkin Interactive ;July 31, 2019 ;July 31, 2019 ;NAN
16;73019.0; Sacrament ;-- ;-- ;-- ;-- ;   PC ;NAN;   MagicHouse ;   Paradise Project ;March 09, 2018 ;March 09, 2018 ;NAN
17;73020.0; The Dark Room ;-- ;-- ;-- ;-- ;   PC ;   Puzzle ;NAN;   Stirfire Studios ;September 19, 2018 ;September 19, 2018 ;NAN
18;73021.0; Cadence of Hyrule - Octavo's Ode ;4 Hours ;5 Hours ;5½ Hours ;4½ Hours ;   Nintendo Switch ;NAN;   Brace Yourself Games ;NAN;December 18, 2019 ;December 18, 2019 ;December 18, 2019 
19;73022.0; Digger Dan DX ;-- ;-- ;-- ;-- ;   Nintendo 3DS ;   Puzzle ;   Four Horses ;   Four Horses ;May 19, 2016 ;May 19, 2016 ;NAN
20;73023.0; Spooky Station ;-- ;-- ;-- ;-- ;   PC ;NAN;NAN;   Estúdio Vaca Roxa ;October 29, 2019 ;October 29, 2019 ;NAN
21;73024.0; Wurroom ;15 Mins ;15 Mins ;15 Mins ;15 Mins ;   Nintendo Switch, PC, PlayStation Vita ;NAN;   Michael Rfdshir ;   Michael Rfdshir ;November 08, 2019 ;November 08, 2019 ;NAN
22;73025.0; Warriors Orochi 4 Ultimate ;35½ Hours ;88 Hours ;214 Hours ;69 Hours ;   Nintendo Switch, PC, PlayStation 4, Xbox One ;NAN;   Omega Force ;   Koei Tecmo Games ;February 14, 2020 ;February 14, 2020 ;December 19, 2019 
23;73026.0; O Rei ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
24;73028.0; O2Jam ;-- ;-- ;-- ;-- ;NAN;   Music/Rhythm ;   O2Media ;   O2Media ;NAN;NAN;NAN
25;73029.0; Smash Bros Brawl Subspace Emissary ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
26;73030.0; Jurassic World Evolution: Secrets Of Dr Wu ;9 Hours ;9½ Hours ;-- ;9½ Hours ;   PC, PlayStation 4, Xbox One ;NAN;   Frontier Developments ;NAN;November 20, 2018 ;November 20, 2018 ;NAN
27;73031.0; Jurassic World Evolution: Claire's Sanctuary ;6½ Hours ;7 Hours ;-- ;7 Hours ;   PC, PlayStation 4, Xbox One ;NAN;   Frontier Developments ;   Frontier Developments ;June 18, 2019 ;June 18, 2019 ;NAN
28;73032.0; The Button That Ruins Everything ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
29;73033.0; Namco High ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
30;73034.0; Paunch ;44 Mins ;NAN;NAN;NAN;   PC ;NAN;   Kozhakov ;   Kozhakov ;December 04, 2019 ;December 04, 2019 ;NAN
31;73035.0; Tin Hearts ;-- ;-- ;-- ;-- ;   PC ;   Virtual Reality ;   Rogue Sun ;   Rogue Sun ;November 08, 2018 ;November 08, 2018 ;NAN
32;73036.0; Hentai Girl Angel ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
33;73037.0; Mini Island ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
34;73038.0; Red Horizon ;-- ;-- ;-- ;-- ;   PC ;NAN;   Allen Games ;   Allen Games ;July 19, 2019 ;July 19, 2019 ;NAN
35;73039.0; The Tear ;-- ;-- ;-- ;-- ;   PC ;NAN;NAN;   Game Gestalt ;February 28, 2019 ;February 28, 2019 ;NAN
36;73040.0; LEGO Builder's Journey ;2 Hours ;2 Hours ;2 Hours ;2 Hours ;   Mobile, Nintendo Switch, PC ;   Puzzle ;   Light Brick Studio ;   LEGO ;December 2019 ;December 2019 ;NAN
37;73041.0; Battlestations ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
38;73042.0; The Hunter: Call of the Wild - Yukon Valley ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
39;73043.0; Rain of Reflections ;3 Hours ;3½ Hours ;4 Hours ;3½ Hours ;   PC ;   Adventure ;   Lionbite Games ;   Lionbite Games ;October 04, 2019 ;October 04, 2019 ;NAN
40;73044.0; Jill of the Jungle: The Complete Trilogy ;3 Hours ;NAN;NAN;NAN;   PC ;   Compilation ;   Epic Games ;   Epic Games ; 1993 ;NAN;NAN
41;73045.0; Vladimir Putin Style ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
42;73046.0; Brewer ;-- ;-- ;-- ;-- ;   PC ;NAN;   Slava Victorov ;   Slava Victorov ;August 15, 2019 ;August 15, 2019 ;NAN
43;73047.0; More Dark ;-- ;-- ;41 Mins ;41 Mins ;   PC, PlayStation 4 ;   Platform ;   HugePixel ;   HugePixel ;November 07, 2019 ;November 07, 2019 ;NAN
44;73048.0; Mostly Scared of Spiders ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
45;73049.0; UNBREAKER ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
46;73050.0; Air Rescue (1992) ;36 Mins ;-- ;-- ;36 Mins ;   Sega Master System ;NAN;   Sanritsu ;   Sega ; 1992 ;NAN;NAN
47;73052.0; Transport Fever 2 ;39½ Hours ;55 Hours ;121 Hours ;64½ Hours ;   PC ;NAN;   Urban Games ;   Good Shepherd Entertainment ;December 11, 2019 ;December 11, 2019 ;NAN
48;73053.0; Break Arcade Games Out ;15 Mins ;-- ;-- ;15 Mins ;   PC ;   Breakout ;NAN;   Dan Zaidan ;September 20, 2019 ;September 20, 2019 ;NAN
49;73054.0; Fishy (2021) ;19 Mins ;33 Mins ;-- ;26 Mins ;   Linux, Mac, PC ;   Visual Novel ;   I Choose Paradise ;   I Choose Paradise ;August 20, 2021 ;August 20, 2021 ;NAN
50;73055.0; Baldr Sky ;92 Hours ;96½ Hours ;139 Hours ;108 Hours ;   PC ;   Visual Novel ;   Giga ;   Sekai Project ;December 20, 2019 ;December 20, 2019 ;March 27, 2009 
51;73056.0; URO2 ;-- ;-- ;-- ;-- ;   PC ;NAN;   AECRNIA ;   AnelaGamesStudio ;October 28, 2019 ;October 28, 2019 ;NAN
52;73057.0; Mr Bean's Wacky World ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
53;73058.0; Lego Builder’s Journey ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
54;73059.0; Vivid Conceptions ;-- ;-- ;-- ;-- ;NAN;NAN;   Vertigo Games ;NAN; 2006 ;NAN;NAN
55;73060.0; Die Anstalt ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN; 2003 ;NAN
56;73061.0; Casey Joint ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
57;73062.0; Bomberman 64: Arcade Edition ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
58;73063.0; Star Odyssey ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
59;73064.0; Tools Up! ;6 Hours ;6 Hours ;7 Hours ;6½ Hours ;   Nintendo Switch, PC, PlayStation 4, Xbox One ;NAN;   The Knights of Unity ;   All in! Games ;December 03, 2019 ;December 03, 2019 ;NAN
60;73065.0; Quick Maths: addition and subtraction ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
61;73066.0; Toripon ;-- ;50 Mins ;1 Hours ;56 Mins ;   PC ;   Adventure ;   Victoria Smith ;NAN;December 05, 2019 ;NAN;NAN
62;73068.0; Bokuten - Why I Became An Angel ;9½ Hours ;-- ;25½ Hours ;22½ Hours ;   PC ;   Visual Novel ;   Overdrive ;   MangaGamer ;December 19, 2019 ;December 19, 2019 ;NAN
63;73069.0; Baseball (1985) ;46 Mins ;1½ Hours ;2½ Hours ;1 Hours ;   NES, Nintendo Switch ;   Sports ;   Nintendo ;   Nintendo ;October 18, 1985 ;NAN;NAN
64;73070.0; EarthNight ;-- ;7 Hours ;-- ;7 Hours ;   Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation Vita ;   Platform ;   Cleaversoft ;   Cleaversoft ;December 03, 2019 ;December 03, 2019 ;NAN
65;73071.0; Tyrian v1.0 ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
66;73072.0; Hentai Nazi ;-- ;20 Mins ;40 Mins ;21 Mins ;   PC ;NAN;NAN;   AmagSwag Games ;November 27, 2019 ;November 27, 2019 ;NAN
67;73073.0; DreamEater ;-- ;-- ;-- ;-- ;   PC ;NAN;   Lsp游戏开发工作室 ;   Lsp游戏开发工作室 ;May 27, 2019 ;May 27, 2019 ;NAN
68;73074.0; 人间 The Lost We Lost ;-- ;-- ;-- ;-- ;   PC ;NAN;NAN;NAN;NAN;NAN;NAN
69;73075.0; KUUKIYOMI: Consider It ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
70;73076.0; Ensemble Stars! ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
71;73077.0; The Disastrous Life of Saiki K. Mosoboso! Psychic Battle ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
72;73078.0; Control - Expeditions ;47 Mins ;2½ Hours ;4 Hours ;2 Hours ;   PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S ;NAN;   Remedy Entertainment ;   505 Games ;December 12, 2019 ;NAN;NAN
73;73080.0; Street Football ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
74;73081.0; Godfall ;12 Hours ;16½ Hours ;36½ Hours ;14½ Hours ;   PC, PlayStation 4, PlayStation 5 ;NAN;   Counterplay Games ;   Gearbox Publishing ;November 12, 2020 ;November 12, 2020 ;NAN
75;73083.0; Rescue Raider ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
76;73084.0; Number Crash ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
77;73085.0; Rail Chase 2 ;20 Mins ;-- ;-- ;20 Mins ;NAN;NAN;   Sega ;   Sega ; 1996 ;NAN;NAN
78;73086.0; Grudge Match ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
79;73088.0; Maze of Galious ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
80;73089.0; Salamander MSX ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
81;73090.0; I LIKE THE FLOWERS ;15 Mins ;15 Mins ;-- ;15 Mins ;   PC ;NAN;   Red twice potato ;   Red twice potato ;December 07, 2019 ;December 07, 2019 ;NAN
82;73091.0; Uta no Prince-sama: Shining Live ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
83;73092.0; Portal 2 CO OP ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
84;73094.0; Budget Cuts 2: Mission Insolvency ;4½ Hours ;8 Hours ;-- ;5½ Hours ;   PC, PC VR ;NAN;NAN;   Neat Corporation ;December 12, 2019 ;December 12, 2019 ;NAN
85;73096.0; The Original Mobile Games ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
86;73097.0; The Original Mobile Games - Meltdown Pack ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
87;73098.0; Swords of Gargantua ;-- ;-- ;-- ;-- ;   PC ;NAN;   Yomuneco Inc. ;   gumi Inc. ;June 06, 2019 ;June 06, 2019 ;NAN
88;73099.0; Aka Manto ;1 Hours ;-- ;7½ Hours ;2 Hours ;   PC ;   Adventure ;   Chilla's Art ;   Chilla's Art ;September 23, 2019 ;September 23, 2019 ;NAN
89;73100.0; Hokuto no Ken (1985) ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
90;73101.0; Borderlands 3: Moxxi's Heist of the Handsome Jackpot ;6 Hours ;9½ Hours ;10½ Hours ;9½ Hours ;   Google Stadia, PC, PlayStation 4, Xbox One ;NAN;   Gearbox ;   2K Games ;December 19, 2019 ;December 19, 2019 ;NAN
91;73102.0; Mayday ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
92;73103.0; Construct 2 Business ;-- ;-- ;-- ;-- ;   PC ;NAN;NAN;NAN;NAN;NAN;NAN
93;73104.0; Battleship (1987) ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
94;73105.0; Frozen Frenzy ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
95;73106.0; Ant Nation ;-- ;-- ;-- ;-- ;   Nintendo DS, Wii ;NAN;   Kouyousha ;   Konami ;July 13, 2009 ;NAN;NAN
96;73107.0; Moxxi’s Heist of the Handsome Jackpot ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
97;73108.0; Mighty Monkey ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
98;73109.0; Demon ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
99;73110.0; Ten Spot ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
100;73111.0; Mr. Kougar ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
101;73112.0; Hunchback Olympic ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
102;73114.0; Color Cingdom ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
103;73115.0; The Unicorn Princess ;3 Hours ;-- ;-- ;3 Hours ;   Nintendo Switch, PC, PlayStation 4, Xbox One ;   Simulation ;   Caipirinha Games ;   Maximum Games ;November 14, 2019 ;November 14, 2019 ;NAN
104;73116.0; aeterno blade 2 ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
105;73117.0; New York Mysteries: The Outbreak ;-- ;5 Hours ;-- ;5 Hours ;   PC ;   Hidden Object ;   Five-bn Games ;   Five-bn Games ;December 02, 2019 ;December 02, 2019 ;NAN
106;73118.0; Peak Angle: Drift Online ;-- ;-- ;-- ;-- ;   PC ;NAN;NAN;NAN;NAN;NAN;NAN
107;73119.0; Too Many Weapons ;-- ;-- ;-- ;-- ;   PC ;NAN;NAN;NAN;NAN;NAN;NAN
108;73120.0; Fifty Words by POWGI ;-- ;-- ;3 Hours ;3 Hours ;   PlayStation 4 ;   Puzzle ;   Lightwood Consultancy ;   Lightwood Games ;September 03, 2019 ;NAN;NAN
109;73121.0; BLACK MESA - XEN ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
110;73122.0; Rabbit (1997) ;25 Mins ;-- ;-- ;25 Mins ;   Arcade, Sega Saturn ;   Fighting ;   Aorn ;   Electronic Arts Victor ;NAN;NAN;June 27, 1997 
111;73123.0; Ben 10 Heroes ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
112;73124.0; Hello Kitty's Magic Apron ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
113;73125.0; DJMAX RESPECT V ;-- ;-- ;-- ;-- ;   PC ;   Music/Rhythm ;   Neowiz ;   Neowiz ;December 18, 2019 ;December 18, 2019 ;NAN
114;73126.0; Endless World - Idle RPG ;-- ;-- ;242 Hours ;242 Hours ;   PC ;   Role-Playing ;   Radiance Games ;   Radiance Games ;August 26, 2019 ;August 26, 2019 ;NAN
115;73127.0; Cthulhu Saves Christmas ;6 Hours ;7 Hours ;7½ Hours ;6 Hours ;   Google Stadia, Nintendo Switch, PC, PlayStation 5 ;   Role-Playing ;   Zeboyd Digital Entertainment ;   Zeboyd Digital Entertainment ;December 23, 2019 ;December 23, 2019 ;NAN
116;73128.0; Wild West and Wizards ;-- ;30½ Hours ;35 Hours ;32 Hours ;   PC ;   Role-Playing ;   Lavaboots Studios ;   Lavaboots Studios ;April 28, 2020 ;April 28, 2020 ;NAN
117;73129.0; Princess Maker Go!Go! Princess ;-- ;-- ;-- ;-- ;   Nintendo Switch, PC ;NAN;   CFK Co. ;   Bliss Brain ;December 23, 2019 ;December 23, 2019 ;NAN
118;73130.0; Contact Draw: Bowling ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
119;73131.0; Disney Classic Games: Aladdin and The Lion King ;4½ Hours - 5½ Hours ;NAN;NAN;NAN;   Nintendo Switch, PC, PlayStation 4, Xbox One ;   Platform ;   Digital Eclipse ;NAN;October 29, 2019 ;October 29, 2019 ;NAN
120;73132.0; Ninja striker ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
121;73133.0; Mahjong Solitaire Refresh ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
122;73134.0; Illusion of L'Phalcia ;80 Hours ;-- ;135 Hours ;107 Hours ;   PC ;NAN;   Exe Create ;   Kemco ;July 02, 2019 ;July 02, 2019 ;NAN
123;73135.0; Mystic Guardian ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
124;73136.0; Assault Squad 2: Men of War Origins ;-- ;-- ;-- ;-- ;   PC ;   Strategy ;   Digitalmindsoft ;   1C Entertainment ;August 25, 2016 ;August 25, 2016 ;NAN
125;73137.0; BLACK DAY ;-- ;-- ;-- ;-- ;   PC ;NAN;   Helios Production ;   Helios Production ;September 18, 2017 ;September 18, 2017 ;NAN
126;73138.0; Kuukiyomi ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
127;73140.0; Punchline!! ;1½ Hours ;-- ;-- ;1½ Hours ;   PC ;   Visual Novel ;   idk? ;   idk? ;December 19, 2019 ;December 19, 2019 ;NAN
128;73142.0; Space Pioneer ;5 Hours ;8 Hours ;-- ;6 Hours ;   Nintendo Switch ;NAN;   QubicGames ;   QubicGames ;December 06, 2019 ;NAN;NAN
129;73145.0; Roarr! The Adventures of Rampage Rex ;52 Mins ;-- ;-- ;52 Mins ;   PC, PlayStation 4, Xbox One ;NAN;   Born Lucky Games ;   Klabater ;November 07, 2018 ;November 07, 2018 ;NAN
130;73146.0; Russian Subway Dogs ;19½ Hours ;-- ;-- ;19½ Hours ;   PC ;   Action ;   Spooky Squid Games ;   Spooky Squid Games ;August 02, 2018 ;August 02, 2018 ;NAN
131;73147.0; To Trust an Incubus ;5½ Hours ;-- ;12 Hours ;8½ Hours ;   PC ;   Visual Novel ;   Y Press Games ;   Y Press Games ;November 22, 2018 ;November 22, 2018 ;NAN
132;73148.0; Fighters' Impact ;2 Hours ;-- ;-- ;2 Hours ;   PlayStation ;   Fighting ;   Polygon Magic ;   Taito Corporation ;NAN;NAN;April 25, 1997 
133;73149.0; Martial Champion ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
134;73150.0; KUUKIYOMI: Consider It! ;35 Mins ;2 Hours ;3½ Hours ;48 Mins ;   Mobile, Nintendo Switch, PC, PlayStation 4 ;   Adventure ;   G-mode ;   G-mode ;December 19, 2019 ;March 29, 2020 ;NAN
135;73151.0; Rage 2: TerrorMania ;1½ Hours ;1½ Hours ;3½ Hours ;1½ Hours ;   PC, PlayStation 4 ;NAN;NAN;   Bethesda Softworks ;November 14, 2019 ;NAN;NAN
136;73152.0; Skul: The Hero Slayer ;19½ Hours ;31½ Hours ;47½ Hours ;25 Hours ;   PC ;   Action ;   SouthPAW Games ;   Neowiz ;February 19, 2020 ;February 19, 2020 ;NAN
137;73153.0; Age of Defense ;-- ;-- ;-- ;-- ;   PC ;   Tower Defense ;   Battlecruiser Games ;   Battlecruiser Games ;May 27, 2019 ;May 27, 2019 ;NAN
138;73154.0; Never Give Up ;-- ;-- ;-- ;-- ;   PC ;   Platform ;NAN;   Armor Games Studios ;August 13, 2019 ;August 13, 2019 ;NAN
139;73156.0; SCP: Blackout ;-- ;-- ;-- ;-- ;   PC ;NAN;   Mahelyk ;NAN;August 09, 2019 ;August 09, 2019 ;NAN
140;73157.0; Filthy Hands ;-- ;-- ;-- ;-- ;   PC ;NAN;NAN;NAN;NAN;NAN;NAN
141;73158.0; BOSSGARD ;-- ;-- ;-- ;-- ;   PC ;NAN;   Sand Sailor Studio ;   Sand Sailor Studio ;April 18, 2019 ;April 18, 2019 ;NAN
142;73159.0; Counter Terrorist Agency ;-- ;-- ;-- ;-- ;   PC ;NAN;   Play2Chill ;NAN;December 05, 2019 ;December 05, 2019 ;NAN
143;73160.0; Ramble Planet ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
144;73161.0; Bo ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
145;73162.0; Moko's Advice ;18 Mins ;-- ;-- ;18 Mins ;   PC ;   Visual Novel ;   Portrait Prophecies ;   Portrait Prophecies ;December 15, 2018 ;December 15, 2018 ;NAN
146;73164.0; Song of Horror - Episode 2 ;5½ Hours ;-- ;-- ;5½ Hours ;   PC, PlayStation 4, Xbox One ;NAN;   Protocol Games ;   Raiser Games ;October 31, 2019 ;October 31, 2019 ;NAN
147;73165.0; Song of Horror - Episode 3 ;4 Hours ;-- ;-- ;4 Hours ;   PC, PlayStation 4, Xbox One ;NAN;   Protocol Games ;   Raiser Games ;December 13, 2019 ;December 13, 2019 ;NAN
148;73166.0; RoonSehv: NeTerra ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
149;73167.0; Shotgun Ninja ;-- ;-- ;-- ;-- ;NAN;NAN;   Jonatan Söderström ;NAN;January 28, 2008 ;NAN;NAN
150;73168.0; Canyon Defense ;-- ;-- ;-- ;-- ;   Browser ;NAN;   IriySoft ;   Miniclip ;March 05, 2008 ;NAN;NAN
151;73169.0; Flash Element TD ;16 Mins ;NAN;NAN;NAN;NAN;NAN;   David Scott ;NAN;January 06, 2007 ;NAN;NAN
152;73170.0; Psychosomnium ;-- ;-- ;23 Mins ;23 Mins ;   Browser ;NAN;   Jonatan Söderström ;NAN;January 06, 2008 ;NAN;NAN
153;73171.0; Beaver Builder ;-- ;-- ;-- ;-- ;   PC ;NAN;   Beaver Interactive ;NAN;October 22, 2010 ;NAN;NAN
154;73172.0; Sugar, Sugar ;-- ;-- ;-- ;-- ;NAN;NAN;   bontegames ;   Armor Games ;February 25, 2011 ;NAN;NAN
